comentario_cliente,tipo_feedback,sentiment,sentiment_intensity,target_entidad_1,target_dimension_1,appraisal_tipo_1,appraisal_valor_1,target_entidad_2,target_dimension_2,appraisal_tipo_2,appraisal_valor_2,cohesion_tipo,impacto_operativo,riesgo_alto,riesgo_motivo,comentario_resumen
Que calor que hace por favor no se puede comprar cómodo pongan aire acondicionado.,insatisfaccion,neutral,baja,tienda,cadena_frio,apreciacion,neutral,,,,,compuesto,bajo,no,,Que calor que hace por favor no se puede comprar cómodo pongan aire acondicionad
Precio oferta promociones atención,satisfaccion,neutral,baja,precio,atencion,apreciacion,neutral,,,,,simple,bajo,no,,Precio oferta promociones atención
Tener wifi para los clientes,sugerencia,neutral,baja,general,general,apreciacion,neutral,,,,,simple,bajo,no,,Tener wifi para los clientes
Variedad y precios,satisfaccion,neutral,baja,producto,precio,apreciacion,neutral,,,,,simple,bajo,no,,Variedad y precios
Wi-fi para pagar,sugerencia,neutral,baja,general,general,apreciacion,neutral,,,,,simple,bajo,no,,Wi-fi para pagar
Que no me cobren😂,satisfaccion,neutral,baja,general,general,apreciacion,neutral,,,,,simple,bajo,no,,Que no me cobren😂
Los buenos precios¡,satisfaccion,positivo,media,precio,precio,afecto,positivo,,,,,simple,medio,no,,Los buenos precios¡
mejorar los carteles de precios,satisfaccion,neutral,baja,precio,precio,apreciacion,neutral,,,,,simple,bajo,no,,mejorar los carteles de precios
Buenas atención buena predisposición de los chicos,satisfaccion,neutral,baja,personal,atencion,apreciacion,neutral,,,,,simple,bajo,no,,Buenas atención buena predisposición de los chicos
"accesibilidas, surtido de productos, precios",satisfaccion,neutral,baja,producto,precio,apreciacion,neutral,,,,,simple,bajo,no,,"accesibilidas, surtido de productos, precios"
La calidad orden.  No me gusta q me cambwl orden se las mercadería.  La amabilidad de la cajera atenta .,satisfaccion,neutral,baja,caja,espera_caja,apreciacion,neutral,,,,,compuesto,bajo,no,,La calidad orden.  No me gusta q me cambwl orden se las mercadería.  La amabilid
Vengo cada tres meses para proveer mis alimentos. Siempre recibo excelente atención,satisfaccion,positivo,media,personal,atencion,afecto,positivo,,,,,compuesto,medio,no,,Vengo cada tres meses para proveer mis alimentos. Siempre recibo excelente atenc
No hay tanto ruido em el ambiente. Esta todo ordenado y lleno de mercaderia. Y la caja es rapida. En pandemia compraba en Vital y hoy en dia prefieri mucho mas venir aca!,satisfaccion,neutral,baja,caja,espera_caja,apreciacion,neutral,,,,,compuesto,bajo,no,,No hay tanto ruido em el ambiente. Esta todo ordenado y lleno de mercaderia. Y l
La iluminación y asfalto del estacionamiento,sugerencia,neutral,baja,general,general,apreciacion,neutral,,,,,simple,bajo,no,,La iluminación y asfalto del estacionamiento
La amabilidad de los cajeros,satisfaccion,neutral,baja,caja,espera_caja,apreciacion,neutral,,,,,simple,bajo,no,,La amabilidad de los cajeros
En esta oportunidad notamos mayor variedad de productos,satisfaccion,neutral,baja,producto,general,apreciacion,neutral,,,,,simple,bajo,no,,En esta oportunidad notamos mayor variedad de productos
Limpieza descuento orswn,satisfaccion,neutral,baja,tienda,limpieza,apreciacion,neutral,,,,,simple,bajo,no,,Limpieza descuento orswn
"por calidad ,buem precio",satisfaccion,neutral,baja,precio,precio,apreciacion,neutral,,,,,simple,bajo,no,,"por calidad ,buem precio"
La atención de los chicos en caja tienen paciencia de explicar las promociones,satisfaccion,neutral,baja,caja,atencion,apreciacion,neutral,,,,,compuesto,bajo,no,,La atención de los chicos en caja tienen paciencia de explicar las promociones
Los precios en último trimestre,insatisfaccion,neutral,baja,precio,precio,apreciacion,neutral,,,,,simple,bajo,no,,Los precios en último trimestre
Variedad ofertas,satisfaccion,neutral,baja,producto,general,apreciacion,neutral,,,,,simple,bajo,no,,Variedad ofertas
"No hay aire acondicionado,es inhumano hacer una compra con calor",insatisfaccion,neutral,baja,tienda,cadena_frio,apreciacion,neutral,,,,,compuesto,bajo,no,,"No hay aire acondicionado,es inhumano hacer una compra con calor"
"Estamos muertos de calor, no se puede comprar asi. Pongan un aire acondicionado.",sugerencia,neutral,baja,tienda,cadena_frio,apreciacion,neutral,,,,,compuesto,bajo,no,,"Estamos muertos de calor, no se puede comprar asi. Pongan un aire acondicionado."
Mejorar playa de estacionamiento,sugerencia,neutral,baja,general,general,apreciacion,neutral,,,,,simple,bajo,no,,Mejorar playa de estacionamiento
la variedad y calidad de los productos,satisfaccion,neutral,baja,producto,general,apreciacion,neutral,,,,,simple,bajo,no,,la variedad y calidad de los productos
por variedad de productos  y precios,satisfaccion,neutral,baja,producto,precio,apreciacion,neutral,,,,,simple,bajo,no,,por variedad de productos  y precios
Excelente servicio,satisfaccion,positivo,media,general,general,afecto,positivo,,,,,simple,medio,no,,Excelente servicio
"tiene muchas cosas buenas, lo único malo es el tema de wifi y señal",satisfaccion,negativo,media,general,general,apreciacion,negativo,,,,,compuesto,medio,no,,"tiene muchas cosas buenas, lo único malo es el tema de wifi y señal"
Soy clienta habitual,satisfaccion,neutral,baja,general,general,apreciacion,neutral,,,,,simple,bajo,no,,Soy clienta habitual
Siempre encuentro algo para aprovechar,satisfaccion,neutral,baja,general,general,apreciacion,neutral,,,,,simple,bajo,no,,Siempre encuentro algo para aprovechar
A veces no están los precios bien ubicados,satisfaccion,neutral,baja,precio,precio,apreciacion,neutral,,,,,simple,bajo,no,,A veces no están los precios bien ubicados
Necesitaría más maquina para verificar precio y más marcas de mercaderias,satisfaccion,neutral,baja,producto,precio,apreciacion,neutral,,,,,compuesto,bajo,no,,Necesitaría más maquina para verificar precio y más marcas de mercaderias
